001,Bulbasaur,Grass,Poison,045,049,049,065,065,045
002,Ivysaur,Grass,Poison,060,062,063,080,080,060
003,Venusaur,Grass,Poison,080,082,083,100,100,080
004,Charmander,Fire,-,039,052,043,060,050,065
005,Charmeleon,Fire,-,058,064,058,080,065,080
006,Charizard,Fire,Flying,078,084,078,109,085,100
007,Squirtle,Water,-,044,048,065,050,064,043
008,Wartortle,Water,-,059,063,080,065,080,058
009,Blastoise,Water,-,079,083,100,085,105,078
010,Caterpie,Bug,-,045,030,035,020,020,045
011,Metapod,Bug,-,050,020,055,025,025,030
012,Butterfree,Bug,Flying,060,045,050,090,080,070
013,Weedle,Bug,Poison,040,035,030,020,020,050
014,Kakuna,Bug,Poison,045,025,050,025,025,035
015,Beedrill,Bug,Poison,065,090,040,045,080,075
016,Pidgey,Normal,Flying,040,045,040,035,035,056
017,Pidgeotto,Normal,Flying,063,060,055,050,050,071
018,Pidgeot,Normal,Flying,083,080,075,070,070,101
019,Rattata,Normal,-,030,056,035,025,035,072
020,Raticate,Normal,-,055,081,060,050,070,097
021,Spearow,Normal,Flying,040,060,030,031,031,070
022,Fearow,Normal,Flying,065,090,065,061,061,100
023,Ekans,Poison,-,035,060,044,040,054,055
024,Arbok,Poison,-,060,095,069,065,079,080
025,Pikachu,Electric,-,035,055,040,050,050,090
026,Raichu,Electric,-,060,090,055,090,080,110
027,Sandshrew,Ground,-,050,075,085,020,030,040
028,Sandslash,Ground,-,075,100,110,045,055,065
029,Nidoran(F),Poison,-,055,047,052,040,040,041
030,Nidorina,Poison,-,070,062,067,055,055,056
031,Nidoqueen,Poison,Ground,090,092,087,075,085,076
032,Nidoran(M),Poison,-,046,057,040,040,040,050
033,Nidorino,Poison,-,061,072,057,055,055,065
034,Nidoking,Poison,Ground,081,102,077,085,075,085
035,Clefairy,Fairy,-,070,045,048,060,065,035
036,Clefable,Fairy,-,095,070,073,095,090,060
037,Vulpix,Fire,-,038,041,040,050,065,065
038,Ninetales,Fire,-,073,076,075,081,100,100
039,Jigglypuff,Normal,Fairy,115,045,020,045,025,020
040,Wigglytuff,Normal,Fairy,140,070,045,085,050,045
041,Zubat,Poison,Flying,040,045,035,030,040,055
042,Golbat,Poison,Flying,075,080,070,065,075,090
043,Oddish,Grass,Poison,045,050,055,075,065,030
044,Gloom,Grass,Poison,060,065,070,085,075,040
045,Vileplume,Grass,Poison,075,080,085,110,090,050
046,Paras,Bug,Grass,035,070,055,045,055,025
047,Parasect,Bug,Grass,060,095,080,060,080,030
048,Venonat,Bug,Poison,060,055,050,040,055,045
049,Venomoth,Bug,Poison,070,065,060,090,075,090
050,Diglett,Ground,-,010,055,025,035,045,095
051,Dugtrio,Ground,-,035,100,050,050,070,120
052,Meowth,Normal,-,040,045,035,040,040,090
053,Persian,Normal,-,065,070,060,065,065,115
054,Psyduck,Water,-,050,052,048,065,050,055
055,Golduck,Water,-,080,082,078,095,080,085
056,Mankey,Fighting,-,040,080,035,035,045,070
057,Primeape,Fighting,-,065,105,060,060,070,095
058,Growlithe,Fire,-,055,070,045,070,050,060
